                                                                                                                     
{'loss': 1.2119, 'grad_norm': 2.7209596633911133, 'learning_rate': 1.998416245036534e-05, 'epoch': 0.05}
{'loss': 1.2549, 'grad_norm': 2.675813674926758, 'learning_rate': 1.9983937068027654e-05, 'epoch': 0.05}
{'loss': 1.4175, 'grad_norm': 3.0982871055603027, 'learning_rate': 1.998371009459443e-05, 'epoch': 0.05}
{'loss': 1.409, 'grad_norm': 2.914684534072876, 'learning_rate': 1.9983481530101842e-05, 'epoch': 0.05}
{'loss': 1.5065, 'grad_norm': 2.643101692199707, 'learning_rate': 1.9983251374586313e-05, 'epoch': 0.06}
{'loss': 1.3438, 'grad_norm': 3.2353641986846924, 'learning_rate': 1.998301962808452e-05, 'epoch': 0.06}
{'loss': 1.27, 'grad_norm': 2.735727071762085, 'learning_rate': 1.99827862906334e-05, 'epoch': 0.06}
{'loss': 1.245, 'grad_norm': 2.9069859981536865, 'learning_rate': 1.9982551362270133e-05, 'epoch': 0.06}
{'loss': 1.4983, 'grad_norm': 2.9661760330200195, 'learning_rate': 1.998231484303217e-05, 'epoch': 0.06}
{'loss': 1.4689, 'grad_norm': 2.824418067932129, 'learning_rate': 1.9982076732957187e-05, 'epoch': 0.06}
{'loss': 1.4306, 'grad_norm': 3.562108278274536, 'learning_rate': 1.9981837032083145e-05, 'epoch': 0.06}
{'loss': 1.252, 'grad_norm': 2.7545387744903564, 'learning_rate': 1.998159574044824e-05, 'epoch': 0.06}
{'loss': 1.3166, 'grad_norm': 2.3856258392333984, 'learning_rate': 1.9981352858090922e-05, 'epoch': 0.06}
{'loss': 1.3054, 'grad_norm': 2.732098340988159, 'learning_rate': 1.99811083850499e-05, 'epoch': 0.06}
{'loss': 1.3108, 'grad_norm': 3.116821765899658, 'learning_rate': 1.9980862321364137e-05, 'epoch': 0.06}
{'loss': 1.3747, 'grad_norm': 2.6597800254821777, 'learning_rate': 1.998061466707284e-05, 'epoch': 0.06}
{'loss': 1.4983, 'grad_norm': 2.7123637199401855, 'learning_rate': 1.9980365422215485e-05, 'epoch': 0.06}
{'loss': 1.4442, 'grad_norm': 3.2275102138519287, 'learning_rate': 1.9980114586831792e-05, 'epoch': 0.06}
{'loss': 1.256, 'grad_norm': 2.8697798252105713, 'learning_rate': 1.9979862160961733e-05, 'epoch': 0.06}
{'loss': 1.3824, 'grad_norm': 3.137680768966675, 'learning_rate': 1.9979608144645532e-05, 'epoch': 0.06}
{'loss': 1.2663, 'grad_norm': 2.8774354457855225, 'learning_rate': 1.9979352537923678e-05, 'epoch': 0.06}
{'loss': 1.3497, 'grad_norm': 3.227407693862915, 'learning_rate': 1.9979095340836903e-05, 'epoch': 0.06}
{'loss': 1.3806, 'grad_norm': 2.835232973098755, 'learning_rate': 1.9978836553426192e-05, 'epoch': 0.06}
{'loss': 1.2911, 'grad_norm': 2.9356541633605957, 'learning_rate': 1.997857617573279e-05, 'epoch': 0.06}
{'loss': 1.2921, 'grad_norm': 2.451504707336426, 'learning_rate': 1.9978314207798195e-05, 'epoch': 0.06}
{'loss': 1.4685, 'grad_norm': 3.1464147567749023, 'learning_rate': 1.997805064966415e-05, 'epoch': 0.06}
{'loss': 1.2409, 'grad_norm': 2.5335822105407715, 'learning_rate': 1.997778550137266e-05, 'epoch': 0.06}
{'loss': 1.4546, 'grad_norm': 3.90696120262146, 'learning_rate': 1.9977518762965983e-05, 'epoch': 0.06}
{'loss': 1.2818, 'grad_norm': 2.7458677291870117, 'learning_rate': 1.997725043448662e-05, 'epoch': 0.06}
{'loss': 1.2464, 'grad_norm': 2.5019490718841553, 'learning_rate': 1.9976980515977344e-05, 'epoch': 0.06}
{'loss': 1.3548, 'grad_norm': 2.3487958908081055, 'learning_rate': 1.997670900748116e-05, 'epoch': 0.07}
{'loss': 1.3315, 'grad_norm': 7.876222133636475, 'learning_rate': 1.9976435909041346e-05, 'epoch': 0.07}
{'loss': 1.3151, 'grad_norm': 2.712653160095215, 'learning_rate': 1.997616122070142e-05, 'epoch': 0.07}
{'loss': 1.2018, 'grad_norm': 2.7414724826812744, 'learning_rate': 1.9975884942505157e-05, 'epoch': 0.07}
{'loss': 1.4371, 'grad_norm': 2.9390740394592285, 'learning_rate': 1.997560707449659e-05, 'epoch': 0.07}
{'loss': 1.3579, 'grad_norm': 2.567199468612671, 'learning_rate': 1.997532761672e-05, 'epoch': 0.07}
{'loss': 1.4521, 'grad_norm': 2.827507734298706, 'learning_rate': 1.9975046569219917e-05, 'epoch': 0.07}
{'loss': 1.4894, 'grad_norm': 3.2535691261291504, 'learning_rate': 1.997476393204114e-05, 'epoch': 0.07}
{'loss': 1.2209, 'grad_norm': 2.9851763248443604, 'learning_rate': 1.9974479705228704e-05, 'epoch': 0.07}
{'loss': 1.1671, 'grad_norm': 3.031301498413086, 'learning_rate': 1.997419388882791e-05, 'epoch': 0.07}
{'loss': 1.3141, 'grad_norm': 3.198963165283203, 'learning_rate': 1.9973906482884307e-05, 'epoch': 0.07}
{'loss': 1.3379, 'grad_norm': 2.769052505493164, 'learning_rate': 1.9973617487443695e-05, 'epoch': 0.07}
{'loss': 1.383, 'grad_norm': 3.23032283782959, 'learning_rate': 1.997332690255213e-05, 'epoch': 0.07}
{'loss': 1.5168, 'grad_norm': 3.115705728530884, 'learning_rate': 1.9973034728255922e-05, 'epoch': 0.07}
{'loss': 1.4508, 'grad_norm': 2.9918065071105957, 'learning_rate': 1.9972740964601634e-05, 'epoch': 0.07}
{'loss': 1.2815, 'grad_norm': 16.436260223388672, 'learning_rate': 1.9972445611636083e-05, 'epoch': 0.07}
{'loss': 1.2845, 'grad_norm': 3.1967172622680664, 'learning_rate': 1.9972148669406336e-05, 'epoch': 0.07}
{'loss': 1.3281, 'grad_norm': 4.971482753753662, 'learning_rate': 1.9971850137959716e-05, 'epoch': 0.07}
{'loss': 1.1987, 'grad_norm': 2.8848063945770264, 'learning_rate': 1.9971550017343796e-05, 'epoch': 0.07}
{'loss': 1.1909, 'grad_norm': 2.5847201347351074, 'learning_rate': 1.9971248307606412e-05, 'epoch': 0.07}
{'loss': 1.6262, 'grad_norm': 2.6649246215820312, 'learning_rate': 1.997094500879564e-05, 'epoch': 0.07}
{'loss': 1.2542, 'grad_norm': 2.361724376678467, 'learning_rate': 1.9970640120959816e-05, 'epoch': 0.07}
{'loss': 1.2279, 'grad_norm': 3.3743715286254883, 'learning_rate': 1.9970333644147527e-05, 'epoch': 0.07}
